lr_table,$,%,(,),*,+,-,/,;,<,=,>,[,],arithmetic_expression,array_statement,assignment,assignment_array,assignment_init,assignment_left,assignment_value,char,constant_expression,double,expression,external_declaration,identifier,int,number,operator,primary_expression,start,start1,statemen,statement,type,type_statement
43, , ,"('r', 20)", , , , , ,"('r', 20)", , , , , , , , , , , , , , , , , ,"('r', 20)", ,"('r', 20)", , , , , , , , 
44, , , , , , , , ,"('r', 22)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, , ,"('s', 25)", , , , , , , , , , , , , , , , , , , , , , , ,"('s', 29)", ,"('s', 26)", ,"('g', 70)", , , , , , 
46, , ,"('r', 21)", , , , , ,"('r', 21)", , , , , , , , , , , , , , , , , ,"('r', 21)", ,"('r', 21)", , , , , , , , 
47, , ,"('r', 19)", , , , , ,"('r', 19)", , , , , , , , , , , , , , , , , ,"('r', 19)", ,"('r', 19)", , , , , , , , 
48, , ,"('r', 18)", , , , , ,"('r', 18)", , , , , , , , , , , , , , , , , ,"('r', 18)", ,"('r', 18)", , , , , , , , 
49, , ,"('r', 17)", , , , , ,"('r', 17)", , , , , , , , , , , , , , , , , ,"('r', 17)", ,"('r', 17)", , , , , , , , 
50, , , , , , , , ,"('r', 26)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , ,"('r', 15)", , , , , ,"('r', 15)", , , , , , , , , , , , , , , , , ,"('r', 15)", ,"('r', 15)", , , , , , , , 
52, ,"('s', 47)","('s', 25)", ,"('s', 49)","('s', 51)","('s', 53)","('s', 48)","('r', 25)","('s', 43)", ,"('s', 46)", , ,"('g', 71)", , , , , , , , , , , ,"('s', 29)", ,"('s', 26)","('g', 45)","('g', 52)", , , , , , 
53, , ,"('r', 16)", , , , , ,"('r', 16)", , , , , , , , , , , , , , , , , ,"('r', 16)", ,"('r', 16)", , , , , , , , 
54, , , , , , , , , , ,"('r', 29)", , , , , , , , , , , , , , , , , , , , , , , , , , 
55, , , , , , , , , , , , , , , , , , , , , , , , , , ,"('r', 8)", , , , , , , , , , 
56, , , ,"('s', 72)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , ,"('r', 19)","('r', 19)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 19)", ,"('r', 19)", , , , , , , , 
58, , ,"('r', 18)","('r', 18)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 18)", ,"('r', 18)", , , , , , , , 
59, , , ,"('r', 22)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , ,"('r', 15)","('r', 15)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 15)", ,"('r', 15)", , , , , , , , 
61, , ,"('r', 16)","('r', 16)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 16)", ,"('r', 16)", , , , , , , , 
62, , ,"('r', 17)","('r', 17)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 17)", ,"('r', 17)", , , , , , , , 
63, , , ,"('r', 26)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, ,"('s', 57)","('s', 35)","('r', 25)","('s', 62)","('s', 60)","('s', 61)","('s', 58)", ,"('s', 66)", ,"('s', 67)", , ,"('g', 73)", , , , , , , , , , , ,"('s', 40)", ,"('s', 38)","('g', 65)","('g', 64)", , , , , , 
65, , ,"('s', 35)", , , , , , , , , , , , , , , , , , , , , , , ,"('s', 40)", ,"('s', 38)", ,"('g', 74)", , , , , , 
66, , ,"('r', 20)","('r', 20)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 20)", ,"('r', 20)", , , , , , , , 
